relative_path,experiment,name,extension,size_bytes,sha256,detected_format,encoding,role,interpretation_confidence,role_note,line_count,record_count,timestamp_start_utc,timestamp_end_utc,delimiter,headers,schema_or_sheets,quality_notes
Exp20190514/probe_20190514_1302.txt,Exp20190514,probe_20190514_1302.txt,.txt,19851,1c1fb8930cb9f6ad9ed20927d533aea70413a7d999b842a208afe3b149b46234,event/debug text log,ascii,OPC UA / Node-RED sensor event log,probable,sensor/topic semantics require confirmation,169,169,2019-05-14T09:31:08.584000Z,2019-05-14T10:55:10.038000Z,JSON Lines,"[""T09"",""T10"",""order"",""sensor"",""timestamp"",""timestampms"",""topic""]","{""Res 30 line1"":118,""Res 30 line2"":51}","{""duplicate_events"":0,""sampling_interval_ms"":{""median_ms"":213,""p10_ms"":195,""p90_ms"":288698}}"
Exp20190514/query_20190514_1122_lim.txt,Exp20190514,query_20190514_1122_lim.txt,.txt,6786,e36a8671c51ce918bcac643a9a504856cf042d0d9cb272ff1b46ecaeb1c3770b,delimited text export,ascii,sparse union-style export of power and operation/PLC events,probable,not a time-fused table; requires original query confirmation,52,50,2019-05-14T07:28:40.553000Z,2019-05-14T08:18:37.124000Z,|,"[""dateandtime"",""id"",""prs"",""flw"",""pwr"",""bsy"",""rfd"",""dne"",""inp"",""wrk"",""out"",""ord"",""pno"",""car"",""wpl"",""stp"",""opn"",""prt""]",flat export,"{""missing_by_column"":{""bsy"":50,""rfd"":50,""dne"":50,""inp"":50,""wrk"":50,""out"":50,""ord"":50,""pno"":50,""car"":50,""wpl"":50,""stp"":50,""opn"":50,""prt"":50},""duplicate_rows"":0,""sampling_interval_ms"":{""median_ms"":938.0,""p10_ms"":21,""p90_ms"":2991834}}"
Exp20190514/query_20190514_1302.txt,Exp20190514,query_20190514_1302.txt,.txt,12769748,8c012ba2092d7a7a9c0020e7678db9f1505cb88e1277d4047e6d1dd0850914c3,delimited text export,ascii,sparse union-style export of power and operation/PLC events,probable,not a time-fused table; requires original query confirmation,96015,96011,2019-05-14T09:25:27.270000Z,2019-05-14T11:02:50.297000Z,|,"[""dateandtime"",""id"",""prs"",""flw"",""pwr"",""bsy"",""rfd"",""dne"",""inp"",""wrk"",""out"",""ord"",""pno"",""car"",""wpl"",""stp"",""opn"",""prt""]",flat export,"{""missing_by_column"":{""bsy"":95478,""rfd"":94778,""dne"":94511,""inp"":95886,""wrk"":94960,""out"":95831,""ord"":94011,""pno"":94011,""car"":94011,""wpl"":96011,""stp"":96011,""opn"":94011,""prt"":94010,""prs"":2000,""flw"":2000,""pwr"":2000},""duplicate_rows"":0,""sampling_interval_ms"":{""median_ms"":69,""p10_ms"":7,""p90_ms"":976}}"
Exp20190514/query_20190514_1302_lim.txt,Exp20190514,query_20190514_1302_lim.txt,.txt,1245904,6a1b19d52df0334253dce737975648312cef9853ba77d575e05c58ee3af8b66a,delimited text export,ascii,sparse union-style export of power and operation/PLC events,probable,not a time-fused table; requires original query confirmation,12586,12584,2019-05-14T09:25:27.270000Z,2019-05-14T09:37:59.171000Z,",","[""dateandtime"",""id"",""prs"",""flw"",""pwr"",""bsy"",""rfd"",""dne"",""inp"",""wrk"",""out"",""ord"",""pno"",""car"",""wpl"",""stp"",""opn"",""prt""]",flat export,"{""missing_by_column"":{""bsy"":12495,""rfd"":12344,""dne"":12250,""inp"":12553,""wrk"":12384,""out"":12553,""ord"":12161,""pno"":12161,""car"":12161,""wpl"":12584,""stp"":12584,""opn"":12161,""prt"":12161,""prs"":423,""flw"":423,""pwr"":423},""duplicate_rows"":0,""sampling_interval_ms"":{""median_ms"":70.0,""p10_ms"":8,""p90_ms"":975}}"
Exp20190617/Produzioneconcinquepezzidiseguito.png,Exp20190617,Produzioneconcinquepezzidiseguito.png,.png,193929,657c8808a56659faba47e78a4c6cb6a0de6f6af55413deb556369ecf3b1c053a,PNG screenshot,binary,Node-RED energy-dashboard screenshot,confirmed,contextual validation of drill-station power profile,,1,,,binary PNG,,1680x1050,contextual screenshot; values cannot be treated as machine-readable measurements
Exp20190617/Produzioneconquattropezzidiseguito.png,Exp20190617,Produzioneconquattropezzidiseguito.png,.png,144863,0bb8099ee23ece51b44c9315f706f81a19f4f82fcb4f1192b5eebc1ff480d1f5,PNG screenshot,binary,Node-RED energy-dashboard screenshot,confirmed,contextual validation of drill-station power profile,,1,,,binary PNG,,1680x1050,contextual screenshot; values cannot be treated as machine-readable measurements
Exp20190617/Produzionecontrepezzidiseguito.png,Exp20190617,Produzionecontrepezzidiseguito.png,.png,183290,071fdd077977644bf6aef8b360e3ff752f6349bd1e52e5cc80c8427b9deb79d9,PNG screenshot,binary,Node-RED energy-dashboard screenshot,confirmed,contextual validation of drill-station power profile,,1,,,binary PNG,,1680x1050,contextual screenshot; values cannot be treated as machine-readable measurements
Exp20190617/dump_20190617_1130.sql,Exp20190617,dump_20190617_1130.sql,.sql,5888278,3e6f909e00c5df5f61f33c31030f3be46350df101e2a95a2e669612ab9316b6c,PostgreSQL plain-text dump,ascii,database snapshot containing power and PLC/MES tables,confirmed,PostgreSQL COPY dump,89877,89687,2019-06-17T07:58:16.181000Z,2019-06-17T09:30:43.620000Z,PostgreSQL COPY (tab),"tblMachineReport:[""ResourceID"",""timeStamp"",""Busy"",""RFIDTagPresent"",""Done""]; tblOperationLog:[""ResourceID"",""timeStamp"",""Busy"",""RFIDTagPresent"",""Done"",""StationEntryxBG5"",""ReadyAtStationxBG1"",""DoneWorkingxBG9"",""StationExitxBG6"",""OperationNo"",""WorkPlanNo"",""OrderNo"",""StepNo"",""CarrierID"",""iResourceID"",""OrderPosition"",""PartNumber""]; tblPowerLog:[""ResourceID"",""timeStamp"",""ActivePowerL1"",""Flow"",""Pressure""]; tblSensorsLog:[""ResourceID"",""timeStamp"",""StationEntryxBG5"",""ReadyAtStationxBG1"",""DoneWorkingxBG9"",""StationExitxBG6""]",polimi,tables with zero rows and cumulative snapshots must be handled explicitly
Exp20190617/dump_20190617_1209.sql,Exp20190617,dump_20190617_1209.sql,.sql,8360961,f63c61629f19148539d84442d9a36c40d14991b01aa73b7609d9d50952ba93a2,PostgreSQL plain-text dump,ascii,database snapshot containing power and PLC/MES tables,confirmed,PostgreSQL COPY dump,127451,127261,2019-06-17T07:58:16.181000Z,2019-06-17T10:09:15.405000Z,PostgreSQL COPY (tab),"tblMachineReport:[""ResourceID"",""timeStamp"",""Busy"",""RFIDTagPresent"",""Done""]; tblOperationLog:[""ResourceID"",""timeStamp"",""Busy"",""RFIDTagPresent"",""Done"",""StationEntryxBG5"",""ReadyAtStationxBG1"",""DoneWorkingxBG9"",""StationExitxBG6"",""OperationNo"",""WorkPlanNo"",""OrderNo"",""StepNo"",""CarrierID"",""iResourceID"",""OrderPosition"",""PartNumber""]; tblPowerLog:[""ResourceID"",""timeStamp"",""ActivePowerL1"",""Flow"",""Pressure""]; tblSensorsLog:[""ResourceID"",""timeStamp"",""StationEntryxBG5"",""ReadyAtStationxBG1"",""DoneWorkingxBG9"",""StationExitxBG6""]",polimi,tables with zero rows and cumulative snapshots must be handled explicitly
Exp20190617/dump_20190617_1209_new.sql,Exp20190617,dump_20190617_1209_new.sql,.sql,8361085,4d4ad161b547c9c7b9af12b837ba6b7bbde75dd27e1ad74789b9465b16d42cd4,PostgreSQL plain-text dump,ascii,database snapshot containing power and PLC/MES tables,confirmed,PostgreSQL COPY dump,127451,127261,2019-06-17T07:58:16.181000Z,2019-06-17T10:09:15.405000Z,PostgreSQL COPY (tab),"tblMachineReport:[""ResourceID"",""timeStamp"",""Busy"",""RFIDTagPresent"",""Done""]; tblOperationLog:[""ResourceID"",""timeStamp"",""Busy"",""RFIDTagPresent"",""Done"",""StationEntryxBG5"",""ReadyAtStationxBG1"",""DoneWorkingxBG9"",""StationExitxBG6"",""OperationNo"",""WorkPlanNo"",""OrderNo"",""StepNo"",""CarrierID"",""iResourceID"",""OrderPosition"",""PartNumber""]; tblPowerLog:[""ResourceID"",""timeStamp"",""ActivePowerL1"",""Flow"",""Pressure""]; tblSensorsLog:[""ResourceID"",""timeStamp"",""StationEntryxBG5"",""ReadyAtStationxBG1"",""DoneWorkingxBG9"",""StationExitxBG6""]",polimi1209,tables with zero rows and cumulative snapshots must be handled explicitly
Exp20190617/dump_20190617_1429.sql,Exp20190617,dump_20190617_1429.sql,.sql,1853778,e90302cbf9f911dd23349f02c51cfe316e63159a1b42861f3ed5cfd65b47fd92,PostgreSQL plain-text dump,ascii,database snapshot containing power and PLC/MES tables,confirmed,PostgreSQL COPY dump,28736,28546,2019-06-17T11:59:31.348000Z,2019-06-17T12:29:49.863000Z,PostgreSQL COPY (tab),"tblMachineReport:[""ResourceID"",""timeStamp"",""Busy"",""RFIDTagPresent"",""Done""]; tblOperationLog:[""ResourceID"",""timeStamp"",""Busy"",""RFIDTagPresent"",""Done"",""StationEntryxBG5"",""ReadyAtStationxBG1"",""DoneWorkingxBG9"",""StationExitxBG6"",""OperationNo"",""WorkPlanNo"",""OrderNo"",""StepNo"",""CarrierID"",""iResourceID"",""OrderPosition"",""PartNumber""]; tblPowerLog:[""ResourceID"",""timeStamp"",""ActivePowerL1"",""Flow"",""Pressure""]; tblSensorsLog:[""ResourceID"",""timeStamp"",""StationEntryxBG5"",""ReadyAtStationxBG1"",""DoneWorkingxBG9"",""StationExitxBG6""]",polimi,tables with zero rows and cumulative snapshots must be handled explicitly
Exp20190617/query_20190617_1130.txt,Exp20190617,query_20190617_1130.txt,.txt,12023436,302b18ffc76c730e41359532144e11ebd27432fa109289122fe4e5c2bab61496,delimited text export,ascii,sparse union-style export of power and operation/PLC events,probable,not a time-fused table; requires original query confirmation,89729,89725,2019-06-17T07:58:16.181000Z,2019-06-17T09:30:46.277000Z,|,"[""dateandtime"",""id"",""prs"",""flw"",""pwr"",""bsy"",""rfd"",""dne"",""inp"",""wrk"",""out"",""ord"",""pno"",""car"",""wpl"",""stp"",""opn"",""prt""]",flat export,"{""missing_by_column"":{""bsy"":89016,""rfd"":88041,""dne"":87751,""inp"":89443,""wrk"":88299,""out"":89451,""ord"":87075,""pno"":87075,""car"":87075,""wpl"":89725,""stp"":89725,""opn"":87075,""prt"":87075,""prs"":2650,""flw"":2650,""pwr"":2650},""duplicate_rows"":0,""sampling_interval_ms"":{""median_ms"":73.0,""p10_ms"":10,""p90_ms"":971}}"
Exp20190617/query_20190617_1209.txt,Exp20190617,query_20190617_1209.txt,.txt,17060229,439fbb325b1a400b73c92402ddd411fa2ced050c4d40ae022af4db9347aa78a5,delimited text export,ascii,sparse union-style export of power and operation/PLC events,probable,not a time-fused table; requires original query confirmation,127317,127313,2019-06-17T07:58:16.181000Z,2019-06-17T10:09:18.927000Z,|,"[""dateandtime"",""id"",""prs"",""flw"",""pwr"",""bsy"",""rfd"",""dne"",""inp"",""wrk"",""out"",""ord"",""pno"",""car"",""wpl"",""stp"",""opn"",""prt""]",flat export,"{""missing_by_column"":{""bsy"":126260,""rfd"":124881,""dne"":124549,""inp"":126901,""wrk"":125270,""out"":126895,""ord"":123564,""pno"":123564,""car"":123564,""wpl"":127313,""stp"":127313,""opn"":123564,""prt"":123564,""prs"":3749,""flw"":3749,""pwr"":3749},""duplicate_rows"":0,""sampling_interval_ms"":{""median_ms"":72.0,""p10_ms"":9,""p90_ms"":970}}"
Exp20190617/query_20190617_1429.txt,Exp20190617,query_20190617_1429.txt,.txt,3800094,5b9d3aff1aa9e7a3ad27042bc92be557e468e730b8d0dd4837c4be3992ebc752,delimited text export,ascii,sparse union-style export of power and operation/PLC events,probable,not a time-fused table; requires original query confirmation,28574,28570,2019-06-17T11:59:31.348000Z,2019-06-17T12:29:51.424000Z,|,"[""dateandtime"",""id"",""prs"",""flw"",""pwr"",""bsy"",""rfd"",""dne"",""inp"",""wrk"",""out"",""ord"",""pno"",""car"",""wpl"",""stp"",""opn"",""prt""]",flat export,"{""missing_by_column"":{""bsy"":28424,""rfd"":28224,""dne"":28115,""inp"":28530,""wrk"":28276,""out"":28530,""ord"":27976,""pno"":27976,""car"":27976,""wpl"":28570,""stp"":28570,""opn"":27976,""prt"":27976,""prs"":594,""flw"":594,""pwr"":594},""duplicate_rows"":0,""sampling_interval_ms"":{""median_ms"":74.0,""p10_ms"":10,""p90_ms"":970}}"
